Downloaded from Ill state water survey; http://www.isws.illinois.edu/data/climatedb/choose.asp?stn=118740&msg=2
Year,Month,Precipitation,Mean
1988,4,1.50,51.7
1988,5,1.55,65.4
1988,6,0.32,73.4
1988,7,3.64,78.1
1988,8,1.28,77.0
1988,9,3.33,67.4
1988,10,3.18,48.2
1988,11,5.93,42.1
1988,12,2.93,30.4
1988,Total,29.61,51.8
1988,Winter,8.86,26.9
1988,Spring,5.56,52.2
1988,Summer,5.24,76.2
1988,Fall,12.44,52.5
1989,1,1.23,34.2
1989,2,1.29,21.6
1989,3,1.98,40.4
1989,4,5.73,51.3
1989,5,5.80,58.7
1989,6,5.02,71.4
1989,7,1.78,75.2
1989,8,4.14,73.0
1989,9,4.55,63.9
1989,10,1.21,55.2
1989,11,1.42,40.3
1989,12,0.69,17.2
1989,Total,34.84,50.3
1989,Winter,5.45,28.9
1989,Spring,13.51,50.1
1989,Summer,10.94,73.2
1989,Fall,7.18,53.1
1990,1,1.01,35.9
1990,2,6.05,34.5
1990,3,3.46,44.3
1990,4,2.14,50.2
1990,5,8.64,59.4
1990,6,8.33,72.1
1990,7,3.63,73.1
1990,8,2.48,71.9
1990,9,1.49,67.3
1990,10,6.90,52.6
1990,11,3.00,46.8
1990,12,6.18,29.5
1990,Total,53.31,53.2
1990,Winter,7.75,29.0
1990,Spring,14.24,51.3
1990,Summer,14.44,72.4
1990,Fall,11.39,55.5
1991,1,1.65,23.5
1991,2,0.33,33.5
1991,3,4.29,42.9
1991,4,2.63,56.0
1991,5,9.32,69.5
1991,6,0.67,75.8
1991,7,2.59,76.1
1991,8,2.27,75.0
1991,9,2.11,67.0
1991,10,4.43,56.3
1991,11,2.82,37.7
1991,12,1.76,33.5
1991,Total,34.87,54.0
1991,Winter,8.16,28.7
1991,Spring,16.24,56.1
1991,Summer,5.53,75.6
1991,Fall,9.36,53.7
1992,1,1.03,30.7
1992,2,1.35,37.1
1992,3,2.00,42.4
1992,4,3.30,50.4
1992,5,3.09,61.0
1992,6,2.47,68.9
1992,7,13.82,72.5
1992,8,2.39,68.8
1992,9,3.14,64.6
1992,10,2.08,54.2
1992,11,8.03,40.7
1992,12,2.45,31.1
1992,Total,45.15,51.9
1992,Winter,4.14,33.7
1992,Spring,8.39,51.3
1992,Summer,18.68,70.1
1992,Fall,13.25,53.2
1993,1,4.39,27.8
1993,2,2.30,25.8
1993,3,3.04,36.7
1993,4,5.06,49.2
1993,5,1.83,62.9
1993,6,5.47,70.8
1993,7,8.42,75.9
1993,8,10.02,74.3
1993,9,7.97,61.3
1993,10,4.10,51.0
1993,11,4.24,38.7
1993,12,1.70,30.4
1993,Total,58.54,50.5
1993,Winter,9.14,28.3
1993,Spring,9.93,49.6
1993,Summer,23.91,73.7
1993,Fall,16.31,50.3
1994,1,1.84,18.7
1994,2,0.98,25.7
1994,3,1.10,39.5
1994,4,9.27,51.3
1994,5,4.01,60.1
1994,6,1.99,74.3
1994,7,1.28,74.2
1994,8,3.65,70.3
1994,9,3.21,65.4
1994,10,3.11,56.0
1994,11,5.15,46.1
1994,12,1.90,36.4
1994,Total,37.49,51.7
1994,Winter,4.52,24.9
1994,Spring,14.38,50.3
1994,Summer,6.92,72.9
1994,Fall,11.47,55.8
1995,1,2.12,26.2
1995,2,0.45,29.0
1995,3,2.91,43.3
1995,4,3.59,50.0
1995,5,10.11,59.6
1995,6,1.93,72.8
1995,7,1.99,76.8
1995,8,5.36,78.9
1995,9,0.50,63.6
1995,10,3.88,54.4
1995,11,2.03,35.0
1995,12,1.62,27.5
1995,Total,36.49,51.6
1995,Winter,4.47,30.6
1995,Spring,16.61,51.0
1995,Summer,9.28,76.2
1995,Fall,6.41,51.1
1996,1,2.04,22.0
1996,2,1.41,29.5
1996,3,2.19,34.0
1996,4,3.58,47.6
1996,5,8.26,60.8
1996,6,5.65,71.4
1996,7,3.36,72.2
1996,8,1.42,73.7
1996,9,3.40,64.6
1996,10,1.55,54.2
1996,11,4.14,34.9
1996,12,1.39,30.7
1996,Total,38.39,49.7
1996,Winter,5.07,26.3
1996,Spring,14.03,47.5
1996,Summer,10.43,72.5
1996,Fall,9.09,51.3
1997,1,2.50,20.5
1997,2,3.51,33.5
1997,3,2.93,41.8
1997,4,1.09,47.6
1997,5,4.69,57.2
1997,6,2.37,70.4
1997,7,2.90,74.4
1997,8,7.02,70.4
1997,9,3.40,65.9
1997,10,1.96,54.2
1997,11,2.56,37.8
1997,12,1.97,32.0
1997,Total,36.90,50.6
1997,Winter,7.48,28.3
1997,Spring,8.71,48.9
1997,Summer,12.29,71.7
1997,Fall,7.92,52.6
